,Title,Published_year,Description
856,As University of Pittsburgh Wraps Up Altmetrics Pilot Plum Analytics Announces Launch of Plum X,2013,In recent months EBSCO Publishing has been deepening and extending partnerships with major vendors of library management systems around the world so that it can remain focused on what it considers a core competency—discovery To that end the company is planning in 2013 to implement ILS integrations first announced in June 2012 with OCLC SirsiDynix []
857,Innovative Interfaces Founder Sells Remaining Interest in Company to Private Equity,2013,From a Company Announcement McGrawHill Professional today announced that it is offering an enhanced purchasing program for its McGrawHill eBook Library [Clip] This new purchasing alternative – perpetual access – is designed to give libraries more flexibility in acquiring McGrawHill Professional’s digital content to meet the growing demands from their patrons for eBooks [Clip] In []
859,Comics in Libraries iVerse Brodart Set Date for Comics Plus Library Edition; OverDrive in Talks with Manga Publishers,2013,Among the many gadgets and gewgaws announced this week at the Consumer Electronics Show in Las Vegas was a debut that may be a boon to students getting more comfortable with digital textbooks A new etextbook dashboard tool which will be an included feature in all etextbooks distributed by Kno Inc will allow students to keep study analytics information private or to optin to share their study results with peers and classmates
860,University of Chicago Developing New Library Catalog Will Be Powered by VuFind Software,2013,Completing a deal originally announced in August Douglas County Libraries last week acquired almost 10000 ebooks from indie distributor Smashwords using the company’s new Library Direct service The transaction took much longer than initially expected but it ultimately helped both parties discover ways to weed filter and tweak a list of independent titles to develop an optimal collection for DCL’s patrons
861,Hot Topic at Midwinter Library Maker Spaces Ideas for Cheap HandsOn Fun,2013,It was a seismic move in the struggle to create a workable ebook access model for the users of America’s libraries It was engineered by Joanne Jo Budler the Kansas State Librarian when she realized that an initial proposal in 2010 to renew the Kansas State Library KSL contract with OverDrive would increase administrative costs by some 700 percent over the next few years as the state ebook deal was being restructured Despite the risk of disrupting and even losing access to ebooks for the users of Kansas libraries Budler rejected more than one proposal from OverDrive for a new contract until a year ago when she won the right to transfer titles from OverDrive to a new platform The dispute set off a long and public national examination of library service agreements
862,Chicago Public Library Signs Deal With BiblioCommons,2013,Update Digital Preservation expert and Founder of LOCKSS Dr David Rosenthal offer some analysis of the amount of data the archive contains Hat Tip lorcand — The Library of Congress is out with a blog post and white paper embedded below that provides info about the complete archive of  tweets that Twitter donated to The []
863,ReadersFirst Vendors Search for a New Lending Model,2013,The Cuyahoga County Public Library CCPL Pioneer Library System PLS Hennepin County Library HCL and MidContinent Public Library MCPL were among several library systems that broke singleday ebook and audiobooklending records this past Christmas according to an announcement by OverDriveIn separate news 3M last month achieved a milestone in its goal to make ebook searching a completely seamless experience
864,Recorded Books Rolls Out IndieFlix Movie Streaming Service,2013,The top distributors of ebooks to public libraries along with some of their counterparts among ILS vendors are going to sit down with leading librarians from the US and Canada at the end of this month to discuss how the technology and business model for electronic lending should develop The January 28 gathering at the Seattle Public Library will coincide with the Midwinter meeting of the American Library Association although the roundtable discussion is not part of the conference
865,Edge Coalition Releases Tech Benchmarks for Public Libraries,2013,One of the concerns expressed about the planning initiative to create a Digital Public Library of America DPLA is that its very existence might threaten public libraries While I credit this fear—no outcome to this initiative could be worse—the DPLA is designed to do precisely the opposite to establish a platform and resources that will help libraries and other cultural heritage institutions both public and private to succeed in a digital era
866,Boston University Libraries Pushing Forward With Alma Platform,2013,Avid readers who have made New Year’s resolutions to visit their local library more often might be interested in the Library Extension for Google Chrome The free extension lets users know whether specific books ebooks audiobooks and music CDs are available at their local library while they browse for those titles at Amazoncom
867,Public Libraries ALA Releases EBook Business Model Scorecard,2013,Thirteen percent of people aged 16 and older in the United States have used a mobile device to visit a library website or otherwise access library services according to a national survey by the Pew Research Center’s Internet  American Life Project This percentage has more than doubled since 2009 the report notes citing an earlier survey conducted by researchers at the University of Washington
868,Innovative Interfaces Announces Plans to Integrate DPLA into Encore and Launches Decision Center,2013,From a News Release NOOK Media a subsidiary of Barnes  Noble today announced that Pearson the world’s leading learning company has agreed to make a strategic investment in NOOK Media Pearson has agreed to invest 895 million in cash in NOOK Media LLC at a postmoney valuation of approximately 1789 billion in exchange for []
869,Print Title Goes High Tech with Near Field Communication  LJ Insider,2013,In a holiday letter to authors illustrators and agents Macmillan CEO John Sargent says that a pilot ebook program for libraries the programs existence was confirmed in October will launch in early 2013 We also learn that the program will be for a limited part of the Macmillan list of books Want specifics? Sorry not []
870,Making MOOCs Easier  Peer to Peer Review,2013,Earlier today we learned that 3M Cloud Library and Polaris were announcing the release of an integrated ebook catalog 3M Cloud into a Polaris OPAC installation at the Baltimore County Public Library You can take a look here This afternoon we’ve heard from OverDrive who blogged that their next generation websites were now live in []
871,8 Questions with Peter Brantley on Hypothesis,2013,The Digital Public Library of America DPLA and Europeana today announced the official launch of Leaving Europe A new life in America a jointly curated virtual exhibition that tells the story of European emigration to the United States during the 19th and 20th centuries The exhibition includes digitized photographs manuscripts broadsheets paintings letters audio government documents and other materials from US and European libraries museums and archives curated to describe the experiences faced by different groups emigrating from Europe to the United States
872,eBooks New Partnership Will See 3M Cloud Library Integrated Into SirsiDynix eResource Central,2013,Ebook Library EBL the library ebook platform launched in 2004 by Australian company Ebooks Corporation has had worldwide success More than 600 institutions encompassing thousands of libraries around the world now use EBL The majority 81 percent are academic libraries with another 15 percent of the client base made up of special government and corporate libraries; the remaining four percent are split between public and school libraries Higher education institutions large and small including three LJ will look at more closely—the University of Texas UT at Austin; Wellesley College MA one of the famed Seven Sisters schools; and Fairfield University CT—are among EBL’s many clients
873,ProQuest Acquires EBL Will Merge with Ebrary,2013,Patrons visiting the New York Public Library’s Science Industry and Business Library SIBL now have free access to the entire catalog of more than 1500 instructional online training videos offered by Lyndacom thanks to a new partnership announced last week For the first time the service will be deployed in a public library setting across a range of IP addresses allowing SIBL to offer Lyndacom access on more than 60 workstations throughout the building without requiring any login information
874,Libraries Offer Publishers Local Marketing Advantage,2013,I got into a thoughtprovoking conversation on the Digital Humanities Question and Answer site the other day Columbia University is planning a twoyear staffreskilling program so that its librarians can be the consulting arm of [the university’s] reenvisioned Digital Humanities Center Columbia’s is hardly the only library—hardly the only academic library even—needing to reskill some of its existing employee complement in various ways digital humanities only one possibility of many Granting the necessity how do we as a profession do this and how should we?
875,As Tablets Supplant Ereaders New Challenges Arise for Publishers,2013,In a saturated and nonconsolidated field Recorded Books hopes to distinguish itself with an ebook sales platform that will allow publishers to set their licensing terms for libraries on a titlebytitle and marketbymarket basis and then analyze the impact of those decisions by comparing library circ and consumer sales at the zip code level
876,Marketing Pro Discusses Public Libraries in New Forbes Blog Post,2013,The eBooks For Libraries web site sponsored by Library Renewal and the Topeka  Shawnee County Public Library in Kansas has relaunched and will now provide public awareness and news about ebooks for libraries David Lee King writes Our goal isn’t to complain but to share information about the current ebook landscape and how it []
877,InfoCommons Offers Vision of Brooklyn’s Future,2013,Research collaboration startup Mendeley this week announced the launch of a new whatyouseeiswhatyouget WYSIWYG citation style editor that will enable users to format citation styles and then contribute them to an open repository where they can be reused by other academics Produced in collaboration with Columbia University Libraries with the support of a grant from the Alfred P Sloan Foundation the new editor was developed in response to frequent requests on Mendeley’s user feedback board
878,QA Martin Eve on Why We Need a Public Library of the Humanities and Social Sciences,2013,Due to their longstanding frustration with Amazon's failure to make Kindle ereaders accessible to people who are blind officials from the National Federation of the Blind will be protesting outside Amazon's Seattle headquarters on December 12
879,Wadsworth PL Passes 600k Levy with Help of Market Analytics,2013,Library Journal What does it mean to be a library anthropologist? Nancy Fried Foster I was trained as an anthropologist at Columbia University and I conducted fieldwork in several Wapisiana villages in Roraima Brazil I also had the chance to do research in England Guyana Venezuela and Papua New Guinea My background provides me with a lot of field experience and a grounding in anthropological theory all of which I apply when I look at what happens in libraries
880,With SirsiDynix Announcements ILS Vendors Move Closer to Ebook Integration,2013,Open Access is only one part of a larger shift taking place in the academic world—particularly the sciences—says Richard Price founder and CEO of academiaedu Price argues that academia is moving toward a system where the credibility of research publications and ultimately researchers themselves is gauged not by the prestige of the journal in which works are published but by the usage citations and professional feedback that the works generate online
881,EBSCO Focuses on Discovery and Partnerships,2013,Exciting news from JSTOR From Today’s Announcement JSTOR is pleased to announce a new Alumni Access program which enables participating higher education institutions to provide their alumni with access to their JSTOR archive collections  This is an important next step in our ongoing efforts to extend access to scholarship to individuals around the world and []
882,eBooks McGrawHill Professional Begins Offering Perpetual Purchase Access Option For MGH eLibrary,2013,PeerJ a new multidisciplinary Open Access journal focused on the Biological and Medical Sciences today announced its first formal Call for Papers Submissions will be accepted beginning December 3 2012 When the Journal’s launch was announced in June company cofounders Jason Hoyt formerly the chief scientist and vice president for research and development at research software provider Mendeley and Peter Binfield formerly the publisher of the Public Library of Science PLoS told LJ that they were anticipating a wholesale move to open access in academic publishing
883,Google and the FTC  Peer to Peer Review,2013,Above the front doors of the Boston Public Library BPL appear the words Free to all The BPL will host a celebration in April 2013 to launch officially a project that is based upon these same three words The Digital Public Library of America DPLA is an ambitious broadbased effort to establish a new library platform for our digitallymediated age
884,Kno’s Extextbook Analytics and Social Media Features Offer Better Privacy Options  LJ Insider,2013,The eMOP project led by Texas AM will use page images from ProQuest's Early English Books Online and Early European Books Gale Cengage's Eighteenth Century Collections Online and other sources to create a database of early typefaces used in English books and documents and then train optical character recognition OCR software to read these documents
885,Douglas County Smashwords Refine Selection Tools for Bulk Ebook Purchases,2013,Mary Lee Schneider becomes president and chief executive officer of Follett Corporation Schneider's appointment has important implications for the elementary and high schools that rely on Follett for their print and digital learning materials
886,Jo Budler LJ's 2013 Librarian of the Year,2013,I’m a writer and a geek So if CourseSmart had wanted to track students’ use of its etextbooks to improve the texts themselves I could totally sympathize But it seems to me that CourseSmart wants to use those analytics to fix not the book but the reader and that has the potential to disturb privacy advocates and put students off etextbooks altogether
887,The Library of Congress Posts Update and Releases Report About What’s Going On With Their Twitter Archive,2013,From Media Decoder NY Times The Penguin Group plans to announce on Monday that it is expanding its ebook lending program to libraries in Los Angeles and Cleveland and surrounding areas though a new distribution partner In a pilot program that will begin this year Penguin has worked with Baker  Taylor a distributor of []
888,OverDrive 3M kick off 2013 with Promising Ebook Developments,2013,Golden Gate Capital a 12 billion San Franciscobased private equity firm with a significant software and technology portfolio has entered into an agreement to acquire library automation solutions provider Ex Libris Group from current owner Leeds Equity Partners the companies announced this morning The deal is expected to be completed in December Under new ownership Ex Libris will remain an independent business based in Jerusalem and run by the current management team the company explained in the announcement Additional terms of the sale were not disclosed
889,Top Ebook Distributors ILS Vendors to Have Sitdown With ReadersFirst Library Coalition,2013,Mobile app shop Boopsie has announced the Boopsie Star Program which will help library vendors increase the visibility of their own mobile apps by making them available through librarybranded Boopsie mobile portals Boopsie apps already offer oneclick access to vendors including Overdrive Mango Languages Tutorcom Credo Reference EBSCO Gale/Cengage Learning Recorded Books and Library H3lp
890,What the DPLA Can Mean for Libraries,2013,CourseSmart the world’s largest provider of digital course materials has announced a pilot test of CourseSmart Analytics a program that will evaluate how students use specific textbooks measuring page views total time spent reading as well as notes and highlights made In aggregate the data will allow professors course designers and academic administrators to assess the effectiveness of digital titles Faculty will also have access to the etextbook reading habits of specific students enrolled in their courses
891,Browser Extension Encourages Amazon Searchers to Head to Their Library  LJ Insider,2013,Buffy Hamilton best known as the Unquiet Librarian will soon be joining the Cleveland Public Library Starting next year Hamilton will become CPL's Learning Specialist and will work to engage Cleveland’s patrons from students to the greater public through librarysupported communities of participatory learning
892,Pew More Patrons Using Mobile Devices to Access Library Websites,2013,An open source program created as part of an effort to make the US redistricting process more transparent was awarded one of five inaugural Strata Data Innovation Awards at last month’s O’Reilly Strata Conference a gathering of leading minds in the emerging field of big data The webbased program DistrictBuilder was developed by the Public Mapping Project an effort to engage the public in the redistricting process
893,Publishing Pearson Makes 895 Million Investment in NOOK Media,2012,The Scottsdale Public Library SPL recently went live with the Papago Salado Story Tour Collection a digitized project that features historic photos of several of their city’s most notable buildings accompanied by audio files of locals telling stories about those buildings The collection got its start last year when Arizona’s Papago Salado Association received a grant from the Arizona Humanities Council to record memories of historical buildings
894,Macmillan CEO John Sargent Says eBook Lending Program For Libraries Coming in Early 2013,2012,On November 8 the Authors Guild appealed the verdict in its case against the HathiTrust to the US Court of Appeals Second Circuit The Guild had filed suit against the Trust in 2011 alleging that the Trust’s digitization efforts constituted copyright infringement However on October 10 Judge Baer of the United States District Court Southern []
895,OverDrive’s Next Generation Websites Now Live at 22 Libraries,2012,It was a coup when 3M announced in June just three months after Penguin Group had severed its relationship with OverDrive that it had brought Penguin tentatively back into the library ebook fold through a pilot project with the New York Public Library NYPL and the Brooklyn Public Library BPL The deal typified the way 3M has made its presence felt in the library ebook market from striking such notable content deals to bringing its considerable experience as a technology company to bear on the development of its 3M Cloud Library platform and hiring away LJ reviews editor Heather McCormack
896,DPLA Europeana Launch Joint Virtual Exhibition Detailing Immigration Connections,2012,The developers behind the Book Genome Project and Booklamporg have launched a Kickstarter campaign for The Game of Books a new digital card and roleplaying game designed to reward young adults for reading Funding raised by the campaign would be used to design produce and distribute 4000 Game of Books starter kits to US libraries Founded in 2003 the Book Genome Project works with publishers to solve challenges in book discovery by using computer analysis of the language theme and characters in books
897,EBL Touts Its Versatility  Series Exploring Ebook Options,2012,The Brown University Library this month opened its new Patrick Ma Digital Scholarship Lab a facility that offers students access to software used by a variety of disciplines in a stateoftheart viewing and listening environment The centerpiece of the lab is a video visualization wall made from twelve 55inch LED screens which can be used together to show a single seven foot by 16 foot image or video at 24 megapixel resolution or linked to individual touchscreen monitors for groups or classes working on collaborative projects
898,Lyndacom NYPL Explore New Librarywide Access Model,2012,The Free Library of Philadelphia FLP this week settled the lawsuit filed against it in May by four blind patrons assisted by the National Federation of the Blind NFB Under the terms of the settlement FLP has agreed to supplement its collection of more than 60 NOOKs with ten accessible devices according to a press announcement from the NFB Within four years the library will transition to a collection of ereaders that are all accessible to the blind and will begin incorporating an accessibility requirement into its technology procurement contracts
899,Continuing Education in LIS How should we train reskillers?  Peer to Peer Review,2012,The stultifying confusion over library ebook lending would benefit from a more empirical approach and I would like to propose that for at least the short term HarperCollins’s 26loan cap model while far from perfect should receive more careful analysis
900,Recorded Books Hopes To Change Ebook Conversation With New Sales And Management Platform,2012,According to Younger Americans’ Reading and Library Habits from the Pew Research Center’s Internet  American Life Project 83 percent of Americans aged 1629 read a book in the past year compared to 78 percent of all Americans over 16
901,eBooks For Libraries Web Site Relaunches Focus is Now Public Awareness About Issues,2012,For Chattanooga having a gigabitpersecond connection means an opportunity to attract new business The city is even sponsoring a competition in which entrepreneurs with winning ideas receive financial incentives to move to Chattanooga Similarly Director Corinne Hill along with CPL’s new assistant director for technology and digital initiatives Nate Hill hopes to turn the library into a creative hub that will include a competitive art and technology residency program drawing cuttingedge talent to the library and its community
902,Mendeley Releases OpenStandards Citation Style Editor,2012,LJ's third annual Ebook third annual ebook summit The Digital Shift Libraries Ebooks and Beyond featured insightful presentations and lively discussions on topics ranging from ebook discovery how ebooks have affected collection development strategies the growth of etextbooks and a postmortem on the industry's response to the Research Works Act early this year
903,National Federation of the Blind to Take Protest to Amazon Denouncing School Kindle Use as Discriminatory to Blind Students,2012,Readers are continuing to experiment with ebooks and the pace at which they are adopting the format is increasing according to the forthcoming edition of LJ's Fall 2012 Patron Profiles survey The Patron Profiles Fall 2012 report contains detailed data on ebook user demographics device preference preferred reading formats library visitation trends and shifts in onsite use patron book and ebook acquisition trends opinions on the possibility of libraries selling ebooks a section on selfpublishing trends and more
904,Seven Questions with Library Anthropologist Nancy Fried Foster,2012,Scott Wasinger EBSCO Publishing’s VP of Sales Ebooks and Audiobooks discusses EBSCO’s new Collection Manager tool new options for patron driven acquisition and plans to expand the company’s fiction and audiobook offerings in 2013 as part of a series of QAs leading up to The Digital Shift Libraries Ebooks and Beyond LJ’s third annual ebook summit on Wednesday October 17
905,Scientists Seek New Credibility Outside of Established Journals,2012,Challenge How to turn an ornately designed inconveniently shaped basement into a sleek technologydriven community space? This was the question that Bostwick Design Partnership faced when taking on the task of creating TechCentral Cleveland Public Library’s new technology center on the lower level of the library’s downtown Louis Stokes Wing
906,After Successful 3Year Pilot JSTOR Launches New Alumni Access Program,2012,Now in their third year the LJ/SLJ Ebook Usage reports track longterm trends in public academic and K12 school libraries presenting detailed information about how libraries are adapting to this technology Sponsored by Freading Ebooks on EBSCOhost and Follett this year’s reports are freely available for download
907,Software and Editorial Board Ready PeerJ Announces Call for Papers,2012,Steve Potash OverDrive President and CEO discusses several new developments at the company including new APIs to simplify ebook integration the new OverDrive Read browserbased ereader and the company’s new WIN catalog as part of a series of QAs leading up to The Digital Shift Libraries Ebooks and Beyond LJ’s third annual ebook summit on Wednesday October 17
908,Building a Digital Public Library of America,2012,Attendees of the annual Polaris Users Group PUG conference last week were given an indepth look at the results of the ILS provider’s integration efforts with the 3M Cloud Library as well as other new features in the system’s latest version Polaris 41 The vision for the integration effort Polaris President and CEO Bill Schickling explained during his opening presentation was simply to create a system that would allow patrons to check out ebooks directly from a library’s OPAC using library authentication information and nothing more
909,Next Gen OCR Project Reaches Back into Early English History and Databases,2012,Tom Mercer 3M Library Systems digital business development leader discusses 3M’s integration efforts with ILS provider Polaris and their recently launched pilot with Penguin Books and the New York Public Library as part of a series of QAs leading up to The Digital Shift Libraries Ebooks and Beyond LJ’s third annual ebook summit on Wednesday October 17
910,Mary Lee Schneider to Head Follett Corporation,2012,From the DPLA Web Site The Digital Public Library of America—a groundbreaking project that will make content in our nation’s archives and special collections digital searchable and freely available—will launch pilot projects in seven states with 1 million in funding from the John S and James L Knight Foundation State libraries and regional digital library []
911,Disengage Measuring Engagement with Etexts Could Cripple What It Means to Assess  LJ Insider,2012,The Kindle Owners’ Lending Library debuted in US in early November 2011 with about 5000 titles At last count over 180000 titles were available to US KOLL users Today’s News From Amazoncom Amazoncom Inc today announced that the Kindle Owners’ Lending Library is coming to the UK Germany and France later this month bringing Kindle []
912,Penguin Working with Baker  Taylor to Expand Ebook Lending to Libraries Audiobook Lending Also Coming,2012,There is great hope that these rapidly maturing discovery products will not only promote information literacy strategies but also deliver what metasearch or federated search has failed to achieve—a Googlelike interface that provides a fast single point of entry to an institution’s relevant and vetted scholarly content However at the moment even as libraries are struggling to reestablish themselves as a compelling place to start research the three constituencies—libraries content providers and discovery service vendors—cannot even agree on a common vocabulary to describe what they do
913,Ex Libris Group Acquired by Golden Gate Capital,2012,The Honorable Harold Baer Jr yesterday held that the HathiTrust’s mass digitization is fair use in spite of the challenges raised in a lawsuit by the Author’s Guild and others both associations and individual authors Crucial to his reading of the case is Baer’s rejection of the plaintiff’s theory that section 108 of the copyright law prevents libraries claiming fair use as a defense Baer said in his opinion I cannot imagine a definition of fair use that would not encompass the transformative uses made by Defendants’ MDP and would require that I terminate this invaluable contribution to the progress of science and cultivation of the arts that at the same time effectuates the ideals espoused by the ADA
914,Boopsie Apps Make Vendor Partners Accessible Via OneClick Access,2012,Frank Menchaca executive vice president of publishing for Gale Cengage Learning discusses digitization projects and the company’s new college courses for public libraries as part of a series of QAs leading up to The Digital Shift Libraries Ebooks and Beyond LJ’s third annual ebook summit on Wednesday October 17
915,CourseSmart to Analyze Etextbook Reading Habits,2012,All 37 member libraries of the Orbis Cascade Alliance will replace their current ILS and discovery systems with the Ex Libris Alma unified resource management system and Primo discovery solution the Alliance announced today Following an extensive request for proposal process the Orbis council of library directors decided to enter into a contract with library automation provider Ex Libris in July
917,OpenSource Redistricting MIT LibrariesSupported Software Takes On Gerrymandering,2012,Rich Rosy vice president and general manager of Ingram Library Services discusses the distributor's views on econtent management as part of a series of QAs leading up to The Digital Shift Libraries Ebooks and Beyond LJ’s third annual ebook summit on Wednesday October 17
918,Groups Digitize Local History with Help of Scottsdale Public Library,2012,In a new Library City blog post ebook/digital publishing expert David Rothman offers praise for the new iOS ebook reading app Version 10 released by the Douglas County Libraries last Friday The app provides access to both ePub and PDF eBooks acquired directly by DCL as well as OverDrive materials The app is powered by []
919,Authors Guild Appeals HathiTrust Decision Library Copyright Alliance Issues Statement,2012,Skip Dye vice president director of library and academic marketing and sales for Random House discusses the publisher's views on ebooks in libraries as part of a series of QAs leading up to The Digital Shift Libraries Ebooks and Beyond LJ's third annual ebook summit on Wednesday October 17
920,3M Makes Its Presence Felt  Series Exploring Ebook Options,2012,From a BT Announcement Baker  Taylor today released an upgrade to its popular Axis 360 digital media platform New options allow library patrons to check out ebooks on ereaders compatible with EPUB and PDF formats such as NOOK Sony Reader and Kobo devices [Clip] With Axis 360 library patrons can now use virtually any []
921,Discovery Game for Libraries Kickstarted by Booklamporg,2012,Selfpublishing via libraries is a hot topic these days Califa is partnering with Smashwords to allow order cialis overnight its patrons to selfpublish A few public libraries have brought in Espresso Book Machines and seen the demand for selfpublishing dwarf printondemand Jamie LaRue and David Weinberger call on libraries to be a platform for selfpublished []
922,Visualization Wall the Centerpiece of Brown Digital Scholarship Lab,2012,via OCLC Geek the Library OCLC’s community awareness campaign designed to highlight the value of public libraries has received 1924883 from the Bill  Melinda Gates Foundation to extend participation in the program to 1000 additional libraries through June 2015 The funding allows increased emphasis on library staff planning and implementation of the program and []
923,Free Library of Philadelphia Resolves NOOK Accessibility Lawsuit,2012,The Association of American Publishers AAP and publisher plaintiffs McGrawHill Pearson Education Penguin John Wiley  Sons and Simon  Schuster settled their longrunning litigation with Google today The lawsuit over Google’s scanning of library books was first filed in 2005 As a result of the settlement publishers can choose to make their books available []
925,Pew Younger Americans Reading More,2012,On September 27 California Governor Jerry Brown signed legislation which would give undergraduates free access to online textbooks for 50 of the most common courses at California public colleges Students can also pay 20 for a hard copy
926,Up Close Bright Lights Gig City in Chattanooga  Library by Design,2012,Begun back in 2001 by O’Reilly Media and Pearson Education Safari Books Online was something of a pioneer It now contains some 25000 ebook and video titles from more than 75 publishers with new publishers added regularly Its main strength is its specificity rather than try to cover every possible subject Safari Books Online concentrates largely on technology business and especially programming on a subscription basis
927,Ebooks Examined from All Angles at Digital Shift Virtual Conference,2012,From an OverDrive Announcement OverDrive [is announcing] the release of the free OverDrive Media Console app for NOOK making it even easier for users to borrow eBooks and audiobooks from libraries and schools With the new OverDrive app users of NOOK HD NOOK HD+ NOOK Tablet and NOOK Color can wirelessly borrow eBooks and MP3 []
928,Patrons Frustrated With Publisher Policies Even as Ebook Use Grows Rapidly  Patron Profiles Fall 2012,2012,The 3M Cloud Library the New York Public Library NYPL the Brooklyn Public Library BPL and publisher Penguin Books have officially launched a pilot program that will allow patrons of the two systems to check out a selection of Penguin ebook titles six months after initial publication NYPL will also offer additional titles from the 3M cloud library the company said in an announcement today
929,QA Scott Wasinger EBSCO Publishing’s VP of Sales Ebooks and Audiobooks,2012,Over the past year  the Fayetteville Free Library FFL has enjoyed the successful rollout of its Fabulous Laboratory Fab Lab a Maker space that resulted from the library’s commitment to community engagement and innovation During this time the library’s staff have been honored to speak about the Fab Lab and to explain not only its success but also the variety of challenges and assumptions that most libraries will face when developing a similar space
930,Looking to Apple for Tech Lab Inspiration  Library by Design Fall 2012,2012,Over the past 40 years public libraries have followed popular culture through the evermoreabstract artifacts of the digital age offering music and video in every format public computers for Internet access online branches and downloadable content Now some libraries are following Maker culture back to things we can hold in our hands
931,Ebook Collections Surging New Data Available from LJ SLJ Annual Usage Reports,2012,Maker spaces in libraries are the latest step in the evolving debate over what public libraries’ core mission is or should be From collecting in an era of scarce resources to curation in an era of overabundant ones some libraries are moving to incorporate cocreation providing the tools to help patrons produce their own works of art or information and sometimes also collecting the results to share with other members of the ­community
932,QA Steve Potash President and CEO of OverDrive On New APIs OverDrive Read WIN Catalog and More,2012,This month the New York Public Library NYPL is celebrating the centennial of Cage’s birthday with a live event on September 27 and the publication of John Cage’s Prepared Piano a new edition of their Point iBook periodical series The evening event also offered NYPL an opportunity to highlight the ongoing development of John Cage Unbound A Living Archive a new website that showcases the John Cage manuscript collection housed at NYPL’s Library for the Performing Arts as well as videos in which professional musicians students and others explain how they prepare and perform works by Cage
933,Ebook/ILS Harmony Resource Integration Top Customer Interests at Polaris Users Meeting,2012,Google’s entry into the Internet provider business in Kansas City KS and Kansas City MO is moving ahead thanks to a lastminute rally by community groups earlier this month that will enable about 89 percent of both cities to access the service – including many public libraries and schools
934,QA Tom Mercer 3M Library Systems Digital Business Development Leader On Penguin Pilot and Ebook Integration,2012,American Library Association President Maureen Sullivan spoke to about 100 publishers this week during an Association of American Publishers event in New York The presentation struck a more placatory tone than Sullivan’s open letter to publishers regarding the current state of ebook access in libraries Sent just days earlier it began by arguing that it’s []
935,Digital Public Library of America Receives 1 Million in Funding From Knight Foundation,2012,The Association of American Publishers AAP today issued a response to American Library Association ALA President Maureen Sullivan’s open letter which on Monday sharply criticized the ongoing refusal of several major publishers to sell ebooks to libraries The AAP’s response counters that publishers support the concept of elending but must solve a breadth of complex technological operational financial and other challenges to make it a reality Individual publishers are working to address these challenges and antitrust laws prohibit publishers from convening to find common solutions to these emerging issues the statement argues It goes on to question the timing of the open letter noting that the AAP had scheduled a meeting between ALA and more than 100 representatives from the publishing community in a few days
936,Kindle Owners’ Lending Library Expanding to UK Germany and France + Interview with Jeff Bezos,2012,Wikipedia users can now create ebooks using articles from the English edition of the crowdsourced reference Library consultant Linda Braun shows how it's done
937,Stakeholders Strive to Define Standards for WebScale Discovery Systems,2012,Macmillan is working on a pilot project that will test lending of its ebook titles at libraries the publisher confirmed in a statement to Publisher’s Weekly today Details of the project remained undisclosed We have been working hard to develop an ebook lending model that works for all parties as we value the libraries and the role they play in the reading community MacMillan wrote PW in a prepared statement We are currently finalizing the details of our pilot program and will be announcing it when we are ready and not in reaction to a demand
938,Judge’s Ruling a Win for Fair Use in Authors Guild v HathiTrust Case,2012,Seth Finkelstein’s blog alerted me to the fact that the case against Aaron Swartz for stealing JTSOR files had expanded from four felony counts to thirteen The overview of the revised charges Between September 24 2010 and January 6 2011 Swartz contrived to a break into a restrictedaccess computer wiring closet at MIT; b access []
940,Orbis Cascade Alliance Signs Agreement With Ex Libris,2012,With the increased availability of books in electronic format and libraries’ move from the justincase to the justintime delivery model and from a storage facility to a collaboration center it’s no wonder academic libraries have been shifting toward purchasing eBooks over paper copies Like the transition from print to electronic serials this transition comes with []The post Academic eBooks and the User Experience appeared first on The Digital Shift
941,New Mexico Bond Bill Would Fund Academic Collections,2012,The American Library Association ALA on Friday denounced Hachette Book Group’s decision to implement steep price increases on its backcatalog of ebooks sold to the library market OverDrive broke the news to its customers in an email on September 13 stating that Hachette will be raising its eBook prices on October 1 2012 on their currently available eBook catalog ~3500 eBook titles with release dates of April 2010 and earlier On average prices will increase 220 percent ALA President Maureen Sullivan expressed disappointment at Hachette’s choice noting that ALA had believed that the publisher was moving toward more favorable terms for librariesThe post ALA LaRue Respond to Hachette Price Increase appeared first on The Digital Shift
942,QA Ingram Library Services VP Rich Rosy on EContent Management,2012,The Institute of Museum and Library Services IMLS awarded a 291178 grant to the Public Library Association PLA to develop an online collection of digital literacy resources The two year grant which was given via the Laura Bush 21st Century Librarian Program will help PLA partner with the American Library Association ALA’s Office for Information []The post PLA Gets Grant to Build Digital Literacy Resource for Libraries appeared first on The Digital Shift
943,eBooks Douglas County Libraries Releases iOS App and David Rothman Offers Praise,2012,UPDATE 4 Jamie LaRue from Douglas County Libraries Comments in this Library Journal Report UPDATE 3 We reached out to OverDrive with specific questions about the price increase and the technical issues that Hachette refers in their comment  below They told us As a policy we don’t comment on our internal processes or business relationships []
944,QA Random House VP Skip Dye on Ebooks in Libraries,2012,In June nicely timed just before the American Library Association’s Annual Conference Gluejar announced their first unglued title Oral Literature in Africa Well now it is available for downloading in several different formats PDF EPUB Kindle Kindle Daisy Full Text DjVu You can also read it online using the Internet Archive’s book reader It should []The post First Book Comes Unglued appeared first on The Digital Shift
